unique_id,id,region,depth_m,depth_type,temperature,salinity,marine_life,description
f97d373e-2925-4789-be5d-cb63b54fe6c3,1,太平洋-赤道暖流区,50,浅层,25.3,35.16,造礁珊瑚、长棘海星,监测显示该区域混合层下部，水体物理性质波动较小，发现造礁珊瑚、长棘海星活动迹象。
5fdb77a7-7901-4aaf-b192-bb939cf73322,2,北大西洋-拉布拉多寒流,20,表层,-1.3,35.24,独角鲸、南极磷虾,该点位处于表层环境，光照条件为光照减弱，生态系统波动较小。
7abac39e-64bd-49d6-9cdb-6bb64e3df599,3,南海-西沙海域,500,中层,16.3,34.61,深海琵琶鱼、飞鱼,监测显示该区域处于主要温跃层区域，水体物理性质随深度变化显著，发现深海琵琶鱼、飞鱼活动迹象。
0b4ade9a-bb16-4086-90ca-c9b594abfc65,4,太平洋-赤道暖流区,300,中层,17.6,34.11,巨型乌贼、深海琵琶鱼,受暖流影响，此处处于主要温跃层区域，不仅是巨型乌贼、深海琵琶鱼的重要生境，也是海洋碳循环关键区。
277b5805-9edb-499f-a0d8-25b6ebb251de,5,东海-黑潮路径,750,深层,2.7,34.76,深海管虫、巨型乌贼,受暖流影响，此处具有典型深海高压低温特征，不仅是深海管虫、巨型乌贼的重要生境，也是海洋碳循环关键区。
27cccfd0-7f61-4e0b-a70b-3eef08f35cc8,6,白令海峡-冷水团,30,浅层,0.3,33.82,独角鲸、北极鳕鱼,监测显示该区域混合层下部，水体物理性质波动较小，发现独角鲸、北极鳕鱼活动迹象。
56821497-d608-4afa-9c5e-71415cf7f0ab,7,南海-西沙海域,1000,深层,3.3,34.74,深海管虫、吞噬鳗,受暖流影响，此处具有典型深海高压低温特征，不仅是深海管虫、吞噬鳗的重要生境，也是海洋碳循环关键区。
ab9748fd-ef00-4f6b-80eb-a8205a9e8020,8,东海-黑潮路径,80,浅层,24.3,34.24,飞鱼、黄鳍金枪鱼,监测显示该区域混合层下部，水体物理性质波动较小，发现飞鱼、黄鳍金枪鱼活动迹象。
a8a94c81-f5e0-47b4-89ab-cc1c6496c0e6,9,南海-南沙海域,750,深层,1.7,34.64,深海管虫、吞噬鳗,监测显示该区域具有典型深海高压低温特征，水体物理性质极度稳定，发现深海管虫、吞噬鳗活动迹象。
e945d017-e8ec-4d7b-8bcf-89a37fa8d055,10,大西洋-墨西哥湾流,5,表层,26.3,33.84,绿海龟、鹦嘴鱼,监测显示该区域受太阳辐射加热明显，水体物理性质活跃，发现绿海龟、鹦嘴鱼活动迹象。
8b191c9a-3c6c-42ab-891a-43a3f94d75c1,11,太平洋-赤道暖流区,20,表层,25.4,34.31,黄鳍金枪鱼、旗鱼,监测显示该区域混合层下部，水体物理性质波动较小，发现黄鳍金枪鱼、旗鱼活动迹象。
df1f94a1-f55f-4fa8-a873-339a8c4270ce,12,大西洋-墨西哥湾流,300,中层,14.1,34.36,旗鱼、蝠鲼,受暖流影响，此处处于主要温跃层区域，不仅是旗鱼、蝠鲼的重要生境，也是海洋碳循环关键区。
c40cf016-7f8f-409a-82a4-56870a4b9f67,13,南海-南沙海域,150,中层,14.4,34.45,蝠鲼、黄鳍金枪鱼,监测显示该区域处于主要温跃层区域，水体物理性质随深度变化显著，发现蝠鲼、黄鳍金枪鱼活动迹象。
ef11330a-8102-410a-aeac-7fafe3536e1f,14,北大西洋-拉布拉多寒流,750,深层,0.6,34.74,吞噬鳗、深海管虫,受寒流/冰盖影响，此处具有典型深海高压低温特征，不仅是吞噬鳗、深海管虫的重要生境，也是海洋碳循环关键区。
4cb8702c-99ca-4a9b-b928-06960df56e9b,15,东海-黑潮路径,750,深层,1.6,34.96,冷水珊瑚、深海管虫,监测显示该区域具有典型深海高压低温特征，水体物理性质极度稳定，发现冷水珊瑚、深海管虫活动迹象。
ff51426a-15a5-49ea-947f-154a004251fe,16,北冰洋-楚科奇海,100,浅层,-0.9,34.84,威德尔海豹、皇企鹅,该点位处于浅层环境，光照条件为光照减弱，生态系统波动较小。
b5287ec9-5259-435f-b350-3ded28f7af72,17,太平洋-赤道暖流区,20,表层,20.3,34.47,蝠鲼、小丑鱼,监测显示该区域混合层下部，水体物理性质波动较小，发现蝠鲼、小丑鱼活动迹象。
d9e98636-0124-4055-9e8a-0c59a90143da,18,印度洋-马尔代夫周边,500,中层,15.4,34.96,深海琵琶鱼、黄鳍金枪鱼,受暖流影响，此处处于主要温跃层区域，不仅是深海琵琶鱼、黄鳍金枪鱼的重要生境，也是海洋碳循环关键区。
857bb4b2-fd90-4c81-81dc-90e544252a1f,19,东海-黑潮路径,2000,深层,0.6,34.77,冷水珊瑚、巨型乌贼,受暖流影响，此处具有典型深海高压低温特征，不仅是冷水珊瑚、巨型乌贼的重要生境，也是海洋碳循环关键区。
6cbb4d0e-bf6e-4282-b6b3-42b1f20df20f,20,印度洋-马尔代夫周边,150,中层,15.4,35.13,飞鱼、深海琵琶鱼,该点位处于中层环境，光照条件为微弱散射光，生态系统随深度变化显著。
03bfecfe-e89f-49cf-aaa7-ea52d97a5637,21,南海-西沙海域,80,浅层,23.7,34.37,造礁珊瑚、蝠鲼,受暖流影响，此处混合层下部，不仅是造礁珊瑚、蝠鲼的重要生境，也是海洋碳循环关键区。
b9562aea-671c-4e68-8658-e2ba8d6e8a1c,22,南海-南沙海域,750,深层,0.7,34.81,巨型乌贼、深海管虫,监测显示该区域具有典型深海高压低温特征，水体物理性质极度稳定，发现巨型乌贼、深海管虫活动迹象。
6a8f10cf-1e90-4773-8c1e-31eec277b233,23,太平洋-赤道暖流区,100,浅层,20.6,34.26,黄鳍金枪鱼、小丑鱼,受暖流影响，此处混合层下部，不仅是黄鳍金枪鱼、小丑鱼的重要生境，也是海洋碳循环关键区。
33e61bd8-df63-4c68-bffe-aa442d507785,24,印度洋-马尔代夫周边,30,浅层,23.7,34.22,造礁珊瑚、绿海龟,该点位处于浅层环境，光照条件为光照减弱，生态系统波动较小。
